FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_SEP,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
spc-00001.a.fits,A,HD 100906,target,fixed,+11:36:42.38,-18:58:08.4,6/3/15,14:57.3,57176.21872,1.284,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00002.b.fits,B,HD 100906,target,fixed,+11:36:42.37,-18:58:00.8,6/3/15,16:48.9,57176.22001,1.284,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00003.b.fits,B,HD 100906,target,fixed,+11:36:42.37,-18:58:00.8,6/3/15,18:35.4,57176.22124,1.284,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00004.a.fits,A,HD 100906,target,fixed,+11:36:42.38,-18:58:08.4,6/3/15,20:27.0,57176.22253,1.284,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00005.a.fits,A,HD 100906,target,fixed,+11:36:42.38,-18:58:08.4,6/3/15,22:13.6,57176.22377,1.285,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00006.b.fits,B,HD 100906,target,fixed,+11:36:42.37,-18:58:00.8,6/3/15,24:05.1,57176.22506,1.285,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00007.b.fits,B,HD 100906,target,fixed,+11:36:42.37,-18:58:00.8,6/3/15,25:51.8,57176.22629,1.286,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00008.a.fits,A,HD 100906,target,fixed,+11:36:42.38,-18:58:08.4,6/3/15,27:43.3,57176.22758,1.286,89.89,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00011.a.fits,A,HD 101369,standard,fixed,+11:39:51.05,-14:28:07.6,6/3/15,37:10.7,57176.23415,1.216,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00012.b.fits,B,HD 101369,standard,fixed,+11:39:51.12,-14:28:00.1,6/3/15,38:02.1,57176.23475,1.217,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00013.b.fits,B,HD 101369,standard,fixed,+11:39:51.12,-14:28:00.1,6/3/15,38:48.5,57176.23528,1.217,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00014.a.fits,A,HD 101369,standard,fixed,+11:39:51.05,-14:28:07.6,6/3/15,39:39.9,57176.23588,1.218,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00015.a.fits,A,HD 101369,standard,fixed,+11:39:51.05,-14:28:07.6,6/3/15,40:26.2,57176.23641,1.218,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00016.b.fits,B,HD 101369,standard,fixed,+11:39:51.12,-14:28:00.1,6/3/15,41:17.5,57176.23701,1.218,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00017.b.fits,B,HD 101369,standard,fixed,+11:39:51.12,-14:28:00.1,6/3/15,42:03.9,57176.23755,1.219,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
spc-00018.a.fits,A,HD 101369,standard,fixed,+11:39:51.05,-14:28:07.6,6/3/15,42:55.3,57176.23814,1.22,29.6544,1,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
flat-00021.a.fits,A,flat lamp,calibration,fixed,+11:39:51.05,-14:28:07.6,6/3/15,46:11.1,57176.24041,1.222,2.3168,2,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
flat-00022.a.fits,A,flat lamp,calibration,fixed,+11:39:51.05,-14:28:07.6,6/3/15,46:22.8,57176.24054,1.222,2.3168,2,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
flat-00023.a.fits,A,flat lamp,calibration,fixed,+11:39:51.05,-14:28:07.6,6/3/15,46:34.4,57176.24068,1.222,2.3168,2,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
flat-00024.a.fits,A,flat lamp,calibration,fixed,+11:39:51.05,-14:28:07.6,6/3/15,46:45.9,57176.24081,1.222,2.3168,2,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
flat-00025.a.fits,A,flat lamp,calibration,fixed,+11:39:51.05,-14:28:07.6,6/3/15,46:57.5,57176.24094,1.222,2.3168,2,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
arc-00026.a.fits,A,arc lamp,calibration,fixed,+11:39:51.05,-14:28:07.6,6/3/15,47:21.1,57176.24122,1.223,0.9267,5,uspex,0.3x15,SXD,2015A999,Engineering,,,,,,,,,
